ITEM_CODE,ITEM_NAME_ENG,ITEM_STOCK,ITEM_STATUS_CODE,ITEM_STATUS_NAME,STOCK_TYPE_CODE,STOCK_TYPE_NAME,EXPIRE_DATE,BATCH_NO,TOTAL_BASE_PRICE,TOTAL_PHARMAIST_PRICE,TOTAL_COMMUNITY_PRICE,COMPANY_ENTITY_CODE,COMPANY_ENTITY_NAME,STORE_DEPT_CODE,STORE_DEPT_NAME,Year,Month
9545,CH-ALPHA SACH.PO.PLUS 10 6.10 G,11.0,10,قابل للصرف,1,اساسى,2027-04-01,101515CB,3087.8232,3388.0,3850.0,60123,صيدلية اسعاف (24) كفر الشيخ,6,صيدليات,2025,1
9545,CH-ALPHA SACH.PO.PLUS 10 6.10 G,13.0,10,قابل للصرف,1,اساسى,2027-04-01,101515CB,3649.2456,4004.0,4550.0,60117,صيدلية الحرية اسكندرية,6,صيدليات,2025,1
9545,CH-ALPHA SACH.PO.PLUS 10 6.10 G,13.0,10,قابل للصرف,1,اساسى,2027-04-01,101517CB,3649.2456,4004.0,4550.0,60260,صيدلية السويس للزيت (سوكو),6,صيدليات,2025,1
9545,CH-ALPHA SACH.PO.PLUS 10 6.10 G,14.0,10,قابل للصرف,1,اساسى,2027-04-01,101515CB,3929.9568,4312.0,4900.0,4020201,فرع كفر الشيخ,4,فروع,2025,1
9545,CH-ALPHA SACH.PO.PLUS 10 6.10 G,20.0,10,قابل للصرف,1,اساسى,2027-04-01,101517CB,5614.224,6160.0,7000.0,4020105,فرع دمياط,4,فروع,2025,1
9545,CH-ALPHA SACH.PO.PLUS 10 6.10 G,39.0,10,قابل للصرف,1,اساسى,2027-06-01,101520CB,10947.7368,12012.0,13650.0,60260,صيدلية السويس للزيت (سوكو),6,صيدليات,2025,1
9545,CH-ALPHA SACH.PO.PLUS 10 6.10 G,83.0,10,قابل للصرف,1,اساسى,2027-04-01,101516CB,23299.0296,25564.0,29050.0,60215,صيدلية بنك الائتمان الزراعى - القاهرة,6,صيدليات,2025,1
9545,CH-ALPHA SACH.PO.PLUS 10 6.10 G,210.0,10,قابل للصرف,1,اساسى,2027-06-01,101522CB,58949.352,64680.0,73500.0,202,مستودع الاسكندرية الاقليمى,2,مستودعات,2025,1
9545,CH-ALPHA SACH.PO.PLUS 10 6.10 G,397.0,10,قابل للصرف,1,اساسى,2027-07-01,101523CB,111442.3464,122276.0,138950.0,60217,صيدلية كهرباء - السبتية,6,صيدليات,2025,1
9546,CH-ALPHA SACHETS POWD 10 10.4 G,1.0,10,قابل للصرف,1,اساسى,2026-01-01,101271,220.5588,242.0,275.0,60136,صيدلية اسعاف (24) المنصورة,6,صيدليات,2025,1
9546,CH-ALPHA SACHETS POWD 10 10.4 G,2.0,10,قابل للصرف,1,اساسى,2026-03-01,101341CB,473.19888,519.2,590.0,4020307,فرع فاقوس,4,فروع,2025,1
9546,CH-ALPHA SACHETS POWD 10 10.4 G,7.0,10,قابل للصرف,1,اساسى,2026-01-03,101268,1543.9116,1694.0,1925.0,4030203,فرع سوهاج عمرة,4,فروع,2025,1
9546,CH-ALPHA SACHETS POWD 10 10.4 G,9.0,10,قابل للصرف,1,اساسى,2025-10-01,101262,1985.0292,2178.0,2475.0,60267,صيدلية المصنع الألومنيوم الجديدة,6,صيدليات,2025,1
9546,CH-ALPHA SACHETS POWD 10 10.4 G,10.0,10,قابل للصرف,1,اساسى,2026-07-01,101344CB,2365.9944,2596.0,2950.0,4020306,فرع عرابي,4,فروع,2025,1
9546,CH-ALPHA SACHETS POWD 10 10.4 G,20.0,10,قابل للصرف,1,اساسى,2026-03-10,101340CH,4731.9888,5192.0,5900.0,60116,صيدلية اسعاف (24) اسكندرية,6,صيدليات,2025,1
9546,CH-ALPHA SACHETS POWD 10 10.4 G,22.0,10,قابل للصرف,1,اساسى,2026-02-01,101325CB,5205.18768,5711.2,6490.0,4010404,فرع حدائق الاهرام,4,فروع,2025,1
9546,CH-ALPHA SACHETS POWD 10 10.4 G,30.0,10,قابل للصرف,1,اساسى,2026-02-01,101325CB,7097.9832,7788.0,8850.0,60228,صيدلية البنك المركزى - قصر النيل,6,صيدليات,2025,1
9546,CH-ALPHA SACHETS POWD 10 10.4 G,52.0,10,قابل للصرف,1,اساسى,2026-03-01,101341CB,12303.17088,13499.2,15340.0,60215,صيدلية بنك الائتمان الزراعى - القاهرة,6,صيدليات,2025,1
9546,CH-ALPHA SACHETS POWD 10 10.4 G,60.0,10,قابل للصرف,1,اساسى,2026-07-01,101345CB,14195.9664,15576.0,17700.0,60228,صيدلية البنك المركزى - قصر النيل,6,صيدليات,2025,1
9546,CH-ALPHA SACHETS POWD 10 10.4 G,260.0,10,قابل للصرف,1,اساسى,2026-07-01,101345CB,61515.8544,67496.0,76700.0,4010401,فرع المهندسين,4,فروع,2025,1
21215,FORTIBONE 10 SACHET,3.0,10,قابل للصرف,1,اساسى,2026-05-01,101292CB,914.31648,1003.2,1140.0,60221,صيدلية كهرباء - مدينة نصر,6,صيدليات,2025,1
21215,FORTIBONE 10 SACHET,3.0,10,قابل للصرف,1,اساسى,2025-03-20,101113CB,673.70688,739.2,840.0,4020202,فرع دسوق,4,فروع,2025,1
21215,FORTIBONE 10 SACHET,8.0,10,قابل للصرف,1,اساسى,2026-05-01,101290CB,2438.17728,2675.2,3040.0,4010303,فرع حلوان,4,فروع,2025,1
21215,FORTIBONE 10 SACHET,21.0,10,قابل للصرف,1,اساسى,2027-02-01,101379CB,6400.21536,7022.4,7980.0,4010104,فرع السويس,4,فروع,2025,1
81,GENGIGEL MOUTH WASH 1 150 ML,2.0,10,قابل للصرف,1,اساسى,2026-05-01,2317C00,470.8704,528.0,600.0,60216,صيدلية مطابع البنك نوت,6,صيدليات,2025,1
81,GENGIGEL MOUTH WASH 1 150 ML,3.0,10,قابل للصرف,1,اساسى,2026-05-01,2317C00,706.3056,792.0,900.0,60128,صيدلية المجمع الطبى بالمعادى,6,صيدليات,2025,1
81,GENGIGEL MOUTH WASH 1 150 ML,9.0,10,قابل للصرف,1,اساسى,2026-10-01,2304D00,2472.0696,2772.0,3150.0,4010302,فرع شريف,4,فروع,2025,1
80,GENGIGEL GEL THEETHIN 1 20 ML,1.0,10,قابل للصرف,1,اساسى,2026-04-01,2302B00,258.97872,290.4,330.0,60101,صيدلية اسعاف (24) شبرا,6,صيدليات,2025,1
9209,KEFEN TECH PLAST.10X7CM 50 MG 7,1.0,10,قابل للصرف,1,اساسى,2026-05-01,KEY501,47.7209,52.36,59.5,60220,صيدلية كهرباء - الحلمية,6,صيدليات,2025,1
9545,CH-ALPHA SACH.PO.PLUS 10 6.10 G,1.0,30,منتهى الصلاحية,1,اساسى,2024-05-01,L100974CB,116.29464,127.6,145.0,4030105,فرع المنيا الجديد,4,فروع,2025,1
9545,CH-ALPHA SACH.PO.PLUS 10 6.10 G,2.0,10,قابل للصرف,1,اساسى,2027-06-01,101520CB,561.4224,616.0,700.0,60118,صيدلية سعد زغلول اسكندرية,6,صيدليات,2025,1
9545,CH-ALPHA SACH.PO.PLUS 10 6.10 G,2.0,10,قابل للصرف,1,اساسى,2027-04-01,101516CB,561.4224,616.0,700.0,60252,صيدلية جامعة المنيا,6,صيدليات,2025,1
9545,CH-ALPHA SACH.PO.PLUS 10 6.10 G,9.0,10,قابل للصرف,1,اساسى,2026-12-01,101212cb,2526.4008,2772.0,3150.0,4030103,فرع بني سويف,4,فروع,2025,1
9545,CH-ALPHA SACH.PO.PLUS 10 6.10 G,15.0,10,قابل للصرف,1,اساسى,2027-06-01,101522CB,4210.668,4620.0,5250.0,60217,صيدلية كهرباء - السبتية,6,صيدليات,2025,1
9545,CH-ALPHA SACH.PO.PLUS 10 6.10 G,18.0,10,قابل للصرف,1,اساسى,2027-07-01,101523CB,5052.8016,5544.0,6300.0,60220,صيدلية كهرباء - الحلمية,6,صيدليات,2025,1
9545,CH-ALPHA SACH.PO.PLUS 10 6.10 G,20.0,10,قابل للصرف,1,اساسى,2027-06-01,101520CB,5614.224,6160.0,7000.0,60114,صيدلية القصر العينى,6,صيدليات,2025,1
9545,CH-ALPHA SACH.PO.PLUS 10 6.10 G,22.0,10,قابل للصرف,1,اساسى,2027-06-01,101522CB,6175.6464,6776.0,7700.0,60120,صيدلية اسعاف (24) الاسماعيلية,6,صيدليات,2025,1
9545,CH-ALPHA SACH.PO.PLUS 10 6.10 G,24.0,10,قابل للصرف,1,اساسى,2027-03-01,101513CB,6737.0688,7392.0,8400.0,60104,صيدلية اسعاف (24) مصطفى كامل,6,صيدليات,2025,1
9545,CH-ALPHA SACH.PO.PLUS 10 6.10 G,37.0,10,قابل للصرف,1,اساسى,2027-06-01,101520CB,10386.3144,11396.0,12950.0,60107,صيدلية طلعت حرب,6,صيدليات,2025,1
9545,CH-ALPHA SACH.PO.PLUS 10 6.10 G,51.0,10,قابل للصرف,1,اساسى,2027-04-01,101516CB,14316.2712,15708.0,17850.0,60246,صيدلية شركة النيل العامه لانشاء الطرق,6,صيدليات,2025,1
9545,CH-ALPHA SACH.PO.PLUS 10 6.10 G,90.0,10,قابل للصرف,1,اساسى,2027-06-01,101522CB,25264.008,27720.0,31500.0,203,مستودع بحرى الاقليمى,2,مستودعات,2025,1
9545,CH-ALPHA SACH.PO.PLUS 10 6.10 G,105.0,10,قابل للصرف,1,اساسى,2027-06-01,101520CB,29474.676,32340.0,36750.0,60216,صيدلية مطابع البنك نوت,6,صيدليات,2025,1
9545,CH-ALPHA SACH.PO.PLUS 10 6.10 G,108.0,10,قابل للصرف,1,اساسى,2027-06-01,101520CB,30316.8096,33264.0,37800.0,4010404,فرع حدائق الاهرام,4,فروع,2025,1
9545,CH-ALPHA SACH.PO.PLUS 10 6.10 G,419.0,10,قابل للصرف,1,اساسى,2027-07-01,101523CB,117617.9928,129052.0,146650.0,4010107,فرع النصر,4,فروع,2025,1
9546,CH-ALPHA SACHETS POWD 10 10.4 G,2.0,10,قابل للصرف,1,اساسى,2026-02-01,101325CB,473.19888,519.2,590.0,4020308,فرع اشمون,4,فروع,2025,1
9546,CH-ALPHA SACHETS POWD 10 10.4 G,5.0,10,قابل للصرف,1,اساسى,2026-07-01,101344CB,1182.9972,1298.0,1475.0,4020102,فرع ميت غمر,4,فروع,2025,1
9546,CH-ALPHA SACHETS POWD 10 10.4 G,6.0,10,قابل للصرف,1,اساسى,2026-03-31,101342CB,1419.59664,1557.6,1770.0,60112,صيدلية دير الملاك,6,صيدليات,2025,1
9546,CH-ALPHA SACHETS POWD 10 10.4 G,6.0,10,قابل للصرف,1,اساسى,2026-03-31,101342CB,1419.59664,1557.6,1770.0,60126,صيدلية شكاوي طنطا,6,صيدليات,2025,1
9546,CH-ALPHA SACHETS POWD 10 10.4 G,6.5,10,قابل للصرف,1,اساسى,2026-01-05,101319CB,1537.89636,1687.4,1917.5,60257,صيدلية اسعاف (24) اسوان,6,صيدليات,2025,1
9546,CH-ALPHA SACHETS POWD 10 10.4 G,8.0,10,قابل للصرف,1,اساسى,2026-10-31,101268CE,1892.79552,2076.8,2360.0,60101,صيدلية اسعاف (24) شبرا,6,صيدليات,2025,1
9546,CH-ALPHA SACHETS POWD 10 10.4 G,12.0,10,قابل للصرف,1,اساسى,2026-03-01,101342,2839.19328,3115.2,3540.0,60135,صيدلية 6 اكتوبر,6,صيدليات,2025,1
9546,CH-ALPHA SACHETS POWD 10 10.4 G,24.0,10,قابل للصرف,1,اساسى,2026-03-01,101341CB,5678.38656,6230.4,7080.0,60202,صيدلية حلوان,6,صيدليات,2025,1
9546,CH-ALPHA SACHETS POWD 10 10.4 G,29.0,10,قابل للصرف,1,اساسى,2026-07-01,101345CB,6861.38376,7528.4,8555.0,60209,صيدلية الجهاز المركزى,6,صيدليات,2025,1
9546,CH-ALPHA SACHETS POWD 10 10.4 G,32.0,10,قابل للصرف,1,اساسى,2026-03-01,101341CB,7571.18208,8307.2,9440.0,60134,صيدلية كهرباء - المنصورة,6,صيدليات,2025,1
9546,CH-ALPHA SACHETS POWD 10 10.4 G,50.0,10,قابل للصرف,1,اساسى,2026-02-01,101325CB,11829.972,12980.0,14750.0,60230,صيدلية جامعة بنها,6,صيدليات,2025,1
9546,CH-ALPHA SACHETS POWD 10 10.4 G,135.0,10,قابل للصرف,1,اساسى,2026-07-01,101345CB,31940.9244,35046.0,39825.0,60221,صيدلية كهرباء - مدينة نصر,6,صيدليات,2025,1
9546,CH-ALPHA SACHETS POWD 10 10.4 G,254.0,10,قابل للصرف,1,اساسى,2026-03-31,101342CB,60096.25776,65938.4,74930.0,60104,صيدلية اسعاف (24) مصطفى كامل,6,صيدليات,2025,1
21215,FORTIBONE 10 SACHET,2.0,10,قابل للصرف,1,اساسى,2025-03-20,101113CB,449.13792,492.8,560.0,4020203,فرع دمنهور,4,فروع,2025,1
21215,FORTIBONE 10 SACHET,17.0,10,قابل للصرف,1,اساسى,2026-05-01,101291CB,5181.12672,5684.8,6460.0,60215,صيدلية بنك الائتمان الزراعى - القاهرة,6,صيدليات,2025,1
21215,FORTIBONE 10 SACHET,23.0,10,قابل للصرف,1,اساسى,2026-05-01,101292CB,7009.75968,7691.2,8740.0,4010107,فرع النصر,4,فروع,2025,1
79,GENGIGEL GEL 1 20 ML,5.0,10,قابل للصرف,1,اساسى,2027-06-01,2414D00,1294.8936,1452.0,1650.0,60228,صيدلية البنك المركزى - قصر النيل,6,صيدليات,2025,1
79,GENGIGEL GEL 1 20 ML,16.0,10,قابل للصرف,1,اساسى,2027-05-01,2404D00,4143.65952,4646.4,5280.0,60128,صيدلية المجمع الطبى بالمعادى,6,صيدليات,2025,1
80,GENGIGEL GEL THEETHIN 1 20 ML,6.0,10,قابل للصرف,1,اساسى,2026-04-01,2302B00,1553.87232,1742.4,1980.0,4010206,فرع رمسيس,4,فروع,2025,1
9209,KEFEN TECH PLAST.10X7CM 50 MG 7,16.0,10,قابل للصرف,1,اساسى,2026-05-01,KEY501,763.5344,837.76,952.0,60250,صيدلية كهرباء - دمنهور,6,صيدليات,2025,1
9209,KEFEN TECH PLAST.10X7CM 50 MG 7,17.0,10,قابل للصرف,1,اساسى,2026-05-01,KEY501,811.2553,890.12,1011.5,60127,صيدلية اسعاف (24) الفيوم,6,صيدليات,2025,1
9545,CH-ALPHA SACH.PO.PLUS 10 6.10 G,2.0,10,قابل للصرف,1,اساسى,2027-06-01,101520CB,561.4224,616.0,700.0,4010103,فرع الحجاز,4,فروع,2025,1
9545,CH-ALPHA SACH.PO.PLUS 10 6.10 G,3.0,10,قابل للصرف,1,اساسى,2027-04-01,101516CB,842.1336,924.0,1050.0,60111,صيدلية باب الشعرية,6,صيدليات,2025,1
9545,CH-ALPHA SACH.PO.PLUS 10 6.10 G,16.0,10,قابل للصرف,1,اساسى,2027-06-01,101520CB,4491.3792,4928.0,5600.0,4010205,فرع العباسية,4,فروع,2025,1
9545,CH-ALPHA SACH.PO.PLUS 10 6.10 G,16.0,10,قابل للصرف,1,اساسى,2027-06-01,101520CB,4491.3792,4928.0,5600.0,60128,صيدلية المجمع الطبى بالمعادى,6,صيدليات,2025,1
9545,CH-ALPHA SACH.PO.PLUS 10 6.10 G,20.0,10,قابل للصرف,1,اساسى,2027-06-01,101520CB,5614.224,6160.0,7000.0,4010402,فرع ربيع الجيزى المنيل سابقا,4,فروع,2025,1
9545,CH-ALPHA SACH.PO.PLUS 10 6.10 G,24.0,10,قابل للصرف,1,اساسى,2027-04-01,101515CB,6737.0688,7392.0,8400.0,4020309,فرع شبين القناطر,4,فروع,2025,1
9545,CH-ALPHA SACH.PO.PLUS 10 6.10 G,29.0,10,قابل للصرف,1,اساسى,2027-02-01,101505CB,8140.6248,8932.0,10150.0,4030101,فرع الفيوم,4,فروع,2025,1
9545,CH-ALPHA SACH.PO.PLUS 10 6.10 G,29.0,10,قابل للصرف,1,اساسى,2027-07-01,101523CB,8140.6248,8932.0,10150.0,60209,صيدلية الجهاز المركزى,6,صيدليات,2025,1
9545,CH-ALPHA SACH.PO.PLUS 10 6.10 G,90.0,10,قابل للصرف,1,اساسى,2027-06-01,101522CB,25264.008,27720.0,31500.0,60118,صيدلية سعد زغلول اسكندرية,6,صيدليات,2025,1
9545,CH-ALPHA SACH.PO.PLUS 10 6.10 G,101.0,10,قابل للصرف,1,اساسى,2027-04-01,101517CB,28351.8312,31108.0,35350.0,60230,صيدلية جامعة بنها,6,صيدليات,2025,1
9545,CH-ALPHA SACH.PO.PLUS 10 6.10 G,200.0,10,قابل للصرف,1,اساسى,2027-04-01,101516CB,56142.24,61600.0,70000.0,60208,صيدلية مصر للسياحة,6,صيدليات,2025,1
9545,CH-ALPHA SACH.PO.PLUS 10 6.10 G,271.0,10,قابل للصرف,1,اساسى,2027-06-01,101522CB,76072.7352,83468.0,94850.0,4010101,فرع الزيتون,4,فروع,2025,1
9545,CH-ALPHA SACH.PO.PLUS 10 6.10 G,480.0,10,قابل للصرف,1,اساسى,2027-07-01,101523CB,134741.376,147840.0,168000.0,60273,صيدلية مطابع البنك نوت(عاصمة الادارية),2,مستودعات,2025,1
9545,CH-ALPHA SACH.PO.PLUS 10 6.10 G,799.0,10,قابل للصرف,1,اساسى,2027-07-01,101523CB,224288.2488,246092.0,279650.0,4010205,فرع العباسية,4,فروع,2025,1
9546,CH-ALPHA SACHETS POWD 10 10.4 G,1.0,30,منتهى الصلاحية,1,اساسى,2022-09-01,L100848CB,88.22352,96.8,110.0,4010203,فرع شبرا,4,فروع,2025,1
9546,CH-ALPHA SACHETS POWD 10 10.4 G,3.0,10,قابل للصرف,1,اساسى,2026-03-10,101340CH,709.79832,778.8,885.0,4010101,فرع الزيتون,4,فروع,2025,1
9546,CH-ALPHA SACHETS POWD 10 10.4 G,3.0,10,قابل للصرف,1,اساسى,2026-02-01,101325CB,709.79832,778.8,885.0,60215,صيدلية بنك الائتمان الزراعى - القاهرة,6,صيدليات,2025,1
9546,CH-ALPHA SACHETS POWD 10 10.4 G,4.0,10,قابل للصرف,1,اساسى,2026-03-10,101340CH,946.39776,1038.4,1180.0,60228,صيدلية البنك المركزى - قصر النيل,6,صيدليات,2025,1
9546,CH-ALPHA SACHETS POWD 10 10.4 G,9.0,10,قابل للصرف,1,اساسى,2025-12-01,101266,1985.0292,2178.0,2475.0,4020202,فرع دسوق,4,فروع,2025,1
9546,CH-ALPHA SACHETS POWD 10 10.4 G,21.0,10,قابل للصرف,1,اساسى,2026-03-31,101342CB,4968.58824,5451.6,6195.0,4020204,فرع الجامعة,4,فروع,2025,1
9546,CH-ALPHA SACHETS POWD 10 10.4 G,23.0,10,قابل للصرف,1,اساسى,2026-03-10,101340CH,5441.78712,5970.8,6785.0,4020203,فرع دمنهور,4,فروع,2025,1
9546,CH-ALPHA SACHETS POWD 10 10.4 G,30.0,10,قابل للصرف,1,اساسى,2026-03-31,101342CB,7097.9832,7788.0,8850.0,60201,صيدلية جامعة الازهر,6,صيدليات,2025,1
9546,CH-ALPHA SACHETS POWD 10 10.4 G,40.0,10,قابل للصرف,1,اساسى,2026-03-02,101339CB,9463.9776,10384.0,11800.0,4010402,فرع ربيع الجيزى المنيل سابقا,4,فروع,2025,1
9546,CH-ALPHA SACHETS POWD 10 10.4 G,45.0,10,قابل للصرف,1,اساسى,2026-07-01,101344CB,10646.9748,11682.0,13275.0,203,مستودع بحرى الاقليمى,2,مستودعات,2025,1
9546,CH-ALPHA SACHETS POWD 10 10.4 G,48.0,10,قابل للصرف,1,اساسى,2026-07-01,101345CB,11356.77312,12460.8,14160.0,60220,صيدلية كهرباء - الحلمية,6,صيدليات,2025,1
9546,CH-ALPHA SACHETS POWD 10 10.4 G,67.0,10,قابل للصرف,1,اساسى,2026-01-05,101319CB,15852.16248,17393.2,19765.0,4030304,فرع اسوان,4,فروع,2025,1
9546,CH-ALPHA SACHETS POWD 10 10.4 G,830.0,10,قابل للصرف,1,اساسى,2026-07-01,101344CB,196377.5352,215468.0,244850.0,4010205,فرع العباسية,4,فروع,2025,1
18673,UVEBLOCK 80G+ TINTED CREAM,2.0,10,قابل للصرف,1,اساسى,2026-01-01,21B082,508.3,508.3,598.0,60128,صيدلية المجمع الطبى بالمعادى,6,صيدليات,2025,1
21215,FORTIBONE 10 SACHET,2.0,10,قابل للصرف,1,اساسى,2026-05-01,101290CB,609.54432,668.8,760.0,4030304,فرع اسوان,4,فروع,2025,1
21215,FORTIBONE 10 SACHET,5.0,10,قابل للصرف,1,اساسى,2026-05-01,101291CB,1523.8608,1672.0,1900.0,4010103,فرع الحجاز,4,فروع,2025,1
21215,FORTIBONE 10 SACHET,5.0,10,قابل للصرف,1,اساسى,2026-05-01,101291CB,1523.8608,1672.0,1900.0,4020204,فرع الجامعة,4,فروع,2025,1
21215,FORTIBONE 10 SACHET,8.0,10,قابل للصرف,1,اساسى,2026-05-01,101291CB,2438.17728,2675.2,3040.0,60222,صيدلية كهرباء - المعادى,6,صيدليات,2025,1
21215,FORTIBONE 10 SACHET,18.0,10,قابل للصرف,1,اساسى,2026-05-01,101292CB,5485.89888,6019.2,6840.0,60222,صيدلية كهرباء - المعادى,6,صيدليات,2025,1
81,GENGIGEL MOUTH WASH 1 150 ML,1.0,10,قابل للصرف,1,اساسى,2026-05-01,2317C00,235.4352,264.0,300.0,60222,صيدلية كهرباء - المعادى,6,صيدليات,2025,1
80,GENGIGEL GEL THEETHIN 1 20 ML,21.0,10,قابل للصرف,1,اساسى,2026-04-01,2302B00,5438.55312,6098.4,6930.0,4010402,فرع ربيع الجيزى المنيل سابقا,4,فروع,2025,1
9209,KEFEN TECH PLAST.10X7CM 50 MG 7,5.0,10,قابل للصرف,1,اساسى,2026-01-01,KEY102,238.6045,261.8,297.5,60201,صيدلية جامعة الازهر,6,صيدليات,2025,1
9209,KEFEN TECH PLAST.10X7CM 50 MG 7,11.0,10,قابل للصرف,1,اساسى,2026-04-01,KEY401,524.9299,575.96,654.5,60116,صيدلية اسعاف (24) اسكندرية,6,صيدليات,2025,1
9209,KEFEN TECH PLAST.10X7CM 50 MG 7,79.0,10,قابل للصرف,1,اساسى,2026-04-01,KEY401,3769.9511,4136.44,4700.5,60229,صيدلية البنك المركزى - الجمهورية,6,صيدليات,2025,1
9545,CH-ALPHA SACH.PO.PLUS 10 6.10 G,1.0,10,قابل للصرف,1,اساسى,2027-06-01,101520CB,280.7112,308.0,350.0,4010105,فرع الإسماعيلية,4,فروع,2025,1
9545,CH-ALPHA SACH.PO.PLUS 10 6.10 G,1.0,10,قابل للصرف,1,اساسى,2026-12-01,101212CB,280.7112,308.0,350.0,4030103,فرع بني سويف,4,فروع,2025,1
9545,CH-ALPHA SACH.PO.PLUS 10 6.10 G,1.4,10,قابل للصرف,1,اساسى,2027-03-01,101513CB,392.99568,431.2,490.0,60258,صيدلية مصر للتامين الدقي,6,صيدليات,2025,1
9545,CH-ALPHA SACH.PO.PLUS 10 6.10 G,3.0,10,قابل للصرف,1,اساسى,2027-04-01,101516CB,842.1336,924.0,1050.0,60241,صيدلية بنك الأئتمان الزراعي - بنها,6,صيدليات,2025,1
9545,CH-ALPHA SACH.PO.PLUS 10 6.10 G,6.0,10,قابل للصرف,1,اساسى,2027-02-01,101506CB,1684.2672,1848.0,2100.0,4030303,فرع الاقصر,4,فروع,2025,1
9545,CH-ALPHA SACH.PO.PLUS 10 6.10 G,12.0,10,قابل للصرف,1,اساسى,2027-02-01,101506CB,3368.5344,3696.0,4200.0,60133,صيدلية اسعاف (24) الاقصر,6,صيدليات,2025,1
9545,CH-ALPHA SACH.PO.PLUS 10 6.10 G,20.0,10,قابل للصرف,1,اساسى,2027-06-01,101520CB,5614.224,6160.0,7000.0,60134,صيدلية كهرباء - المنصورة,6,صيدليات,2025,1
9545,CH-ALPHA SACH.PO.PLUS 10 6.10 G,20.0,10,قابل للصرف,1,اساسى,2027-06-01,101519CB,5614.224,6160.0,7000.0,60119,صيدلية اسعاف (24) السويس,6,صيدليات,2025,1
9545,CH-ALPHA SACH.PO.PLUS 10 6.10 G,50.0,10,قابل للصرف,1,اساسى,2027-04-01,101516CB,14035.56,15400.0,17500.0,60273,صيدلية مطابع البنك نوت(عاصمة الادارية),2,مستودعات,2025,1
9545,CH-ALPHA SACH.PO.PLUS 10 6.10 G,54.0,10,قابل للصرف,1,اساسى,2027-06-01,101520CB,15158.4048,16632.0,18900.0,4010303,فرع حلوان,4,فروع,2025,1
9545,CH-ALPHA SACH.PO.PLUS 10 6.10 G,59.0,10,قابل للصرف,1,اساسى,2027-06-01,101519CB,16561.9608,18172.0,20650.0,60209,صيدلية الجهاز المركزى,6,صيدليات,2025,1
