TRANS_SERIAL,CARD_DATE,ITEM_CODE,ITEM_NAME_ENG,STOCK_TYPE_CODE,SUPPLIER_CODE,TO_COMPANY_ENTITY_CODE,TO_COMPANY_ENTITY_NAME,FROM_COMPANY_ENTITY_CODE,FROM_COMPANY_ENTITY_NAME,GOV_NAME,SALES_QTY,RETURN_QTY,EXPIRE_DATE,BATCH_NO,VALUE,sheet src,Year,Month
2368703,2025-02-06 10:32:37,21215,FORTIBONE 10 SACHET,1,2185,60209,صيدلية الجهاز المركزى,4010203,فرع شبرا,0,10,0,2027-02-01,101379CB,3344.0,Tr,2025,2
2380937,2025-02-13 14:50:31,9546,CH-ALPHA SACHETS POWD 10 10.4 G,1,2185,60108,صيدلية اسعاف (24) مصر الجديدة,4010102,فرع هليوبليس,0,9,0,2026-03-02,101339CB,2336.4,Tr,2025,2
2380937,2025-02-13 14:50:31,9546,CH-ALPHA SACHETS POWD 10 10.4 G,1,2185,60108,صيدلية اسعاف (24) مصر الجديدة,4010102,فرع هليوبليس,0,11,0,2026-07-01,101345CB,2855.6,Tr,2025,2
2392207,2025-02-22 13:50:34,9546,CH-ALPHA SACHETS POWD 10 10.4 G,1,2185,60257,صيدلية اسعاف (24) اسوان,4030304,فرع اسوان,0,10,0,2026-01-05,101319CB,2596.0,Tr,2025,2
2361551,2025-02-01 15:21:33,9545,CH-ALPHA SACH.PO.PLUS 10 6.10 G,1,2185,60128,صيدلية المجمع الطبى بالمعادى,4010402,فرع ربيع الجيزى المنيل سابقا,0,20,0,2027-06-01,101520CB,6160.0,Tr,2025,2
2361551,2025-02-01 15:21:33,9545,CH-ALPHA SACH.PO.PLUS 10 6.10 G,1,2185,60128,صيدلية المجمع الطبى بالمعادى,4010402,فرع ربيع الجيزى المنيل سابقا,0,70,0,2027-06-01,101522CB,21560.0,Tr,2025,2
2361552,2025-02-01 15:21:20,21215,FORTIBONE 10 SACHET,1,2185,60128,صيدلية المجمع الطبى بالمعادى,4010402,فرع ربيع الجيزى المنيل سابقا,0,1,0,2026-05-01,101291CB,334.4,Tr,2025,2
2361552,2025-02-01 15:21:20,21215,FORTIBONE 10 SACHET,1,2185,60128,صيدلية المجمع الطبى بالمعادى,4010402,فرع ربيع الجيزى المنيل سابقا,0,29,0,2027-02-01,101379CB,9697.6,Tr,2025,2
2363295,2025-02-02 12:48:45,9545,CH-ALPHA SACH.PO.PLUS 10 6.10 G,1,2185,60238,صيدلية الجمعية التعاونية للبترول - بمسطرد,4010107,فرع النصر,0,300,0,2027-07-01,101523CB,92400.0,Tr,2025,2
2363295,2025-02-02 12:48:45,9546,CH-ALPHA SACHETS POWD 10 10.4 G,1,2185,60238,صيدلية الجمعية التعاونية للبترول - بمسطرد,4010107,فرع النصر,0,150,0,2026-07-01,101345CB,38940.0,Tr,2025,2
2392660,2025-02-22 11:14:31,9545,CH-ALPHA SACH.PO.PLUS 10 6.10 G,1,2185,60221,صيدلية كهرباء - مدينة نصر,4010205,فرع العباسية,0,70,0,2027-07-01,101524CB,21560.0,Tr,2025,2
2392660,2025-02-22 11:14:31,9546,CH-ALPHA SACHETS POWD 10 10.4 G,1,2185,60221,صيدلية كهرباء - مدينة نصر,4010205,فرع العباسية,0,150,0,2026-07-01,101345CB,38940.0,Tr,2025,2
2396868,2025-02-25 14:19:40,9545,CH-ALPHA SACH.PO.PLUS 10 6.10 G,1,2185,60220,صيدلية كهرباء - الحلمية,4010206,فرع رمسيس,0,30,0,2027-07-01,101524CB,9240.0,Tr,2025,2
2372334,2025-02-10 09:52:09,9546,CH-ALPHA SACHETS POWD 10 10.4 G,1,2185,60120,صيدلية اسعاف (24) الاسماعيلية,4010105,فرع الإسماعيلية,0,20,0,2026-07-01,101344CB,5192.0,Tr,2025,2
2364545,2025-02-03 11:21:13,9545,CH-ALPHA SACH.PO.PLUS 10 6.10 G,1,2185,60111,صيدلية باب الشعرية,4010205,فرع العباسية,0,15,0,2027-07-01,101523CB,4620.0,Tr,2025,2
2364545,2025-02-03 11:21:13,9546,CH-ALPHA SACHETS POWD 10 10.4 G,1,2185,60111,صيدلية باب الشعرية,4010205,فرع العباسية,0,30,0,2026-07-01,101344CB,7788.0,Tr,2025,2
2366406,2025-02-05 13:41:59,9545,CH-ALPHA SACH.PO.PLUS 10 6.10 G,1,2185,60126,صيدلية شكاوي طنطا,203,مستودع بحرى الاقليمى,0,30,0,2027-06-01,101522CB,9240.0,Tr,2025,2
2398701,2025-02-26 11:27:07,9545,CH-ALPHA SACH.PO.PLUS 10 6.10 G,1,2185,60229,صيدلية البنك المركزى - الجمهورية,4010205,فرع العباسية,0,60,0,2027-07-01,101524CB,18480.0,Tr,2025,2
2381494,2025-02-15 15:18:39,9545,CH-ALPHA SACH.PO.PLUS 10 6.10 G,1,2185,60135,صيدلية 6 اكتوبر,4010206,فرع رمسيس,0,20,0,2027-07-01,101523CB,6160.0,Tr,2025,2
2385335,2025-02-17 12:02:56,9546,CH-ALPHA SACHETS POWD 10 10.4 G,1,2185,60217,صيدلية كهرباء - السبتية,4010205,فرع العباسية,0,300,0,2026-07-01,101345CB,77880.0,Tr,2025,2
2368412,2025-02-10 10:51:25,9545,CH-ALPHA SACH.PO.PLUS 10 6.10 G,1,2185,60229,صيدلية البنك المركزى - الجمهورية,4010203,فرع شبرا,0,60,0,2027-07-01,101524CB,18480.0,Tr,2025,2
2375517,2025-02-11 09:17:14,9545,CH-ALPHA SACH.PO.PLUS 10 6.10 G,1,2185,60116,صيدلية اسعاف (24) اسكندرية,101,المستودع الرئيسي,0,30,0,2027-07-01,101524CB,9240.0,Tr,2025,2
2371680,2025-02-08 15:34:41,9545,CH-ALPHA SACH.PO.PLUS 10 6.10 G,1,2185,60202,صيدلية حلوان,4010303,فرع حلوان,0,20,0,2027-06-01,101520CB,6160.0,Tr,2025,2
2371680,2025-02-08 15:34:41,9546,CH-ALPHA SACHETS POWD 10 10.4 G,1,2185,60202,صيدلية حلوان,4010303,فرع حلوان,0,20,0,2026-07-01,101344CB,5192.0,Tr,2025,2
2363039,2025-02-02 12:15:29,9546,CH-ALPHA SACHETS POWD 10 10.4 G,1,2185,60101,صيدلية اسعاف (24) شبرا,4010205,فرع العباسية,0,200,0,2026-07-01,101344CB,51920.0,Tr,2025,2
2369842,2025-02-08 11:40:37,9545,CH-ALPHA SACH.PO.PLUS 10 6.10 G,1,2185,60228,صيدلية البنك المركزى - قصر النيل,4010101,فرع الزيتون,0,60,0,2027-06-01,101522CB,18480.0,Tr,2025,2
2384658,2025-02-17 11:50:35,9545,CH-ALPHA SACH.PO.PLUS 10 6.10 G,1,2185,60238,صيدلية الجمعية التعاونية للبترول - بمسطرد,4010107,فرع النصر,0,108,0,2027-07-01,101523CB,33264.0,Tr,2025,2
2385841,2025-02-17 12:39:55,9545,CH-ALPHA SACH.PO.PLUS 10 6.10 G,1,2185,60121,صيدلية اسعاف (24) بورسعيد,4020101,فرع بورسعيد,0,5,0,2027-07-01,101524CB,1540.0,Tr,2025,2
2386359,2025-02-18 10:09:41,9545,CH-ALPHA SACH.PO.PLUS 10 6.10 G,1,2185,60246,صيدلية شركة النيل العامه لانشاء الطرق,4010203,فرع شبرا,0,60,0,2027-07-01,101524CB,18480.0,Tr,2025,2
2386359,2025-02-18 10:09:41,9546,CH-ALPHA SACHETS POWD 10 10.4 G,1,2185,60246,صيدلية شركة النيل العامه لانشاء الطرق,4010203,فرع شبرا,0,60,0,2026-07-01,101345CB,15576.0,Tr,2025,2
2367670,2025-02-05 11:49:48,9545,CH-ALPHA SACH.PO.PLUS 10 6.10 G,1,2185,60209,صيدلية الجهاز المركزى,4010205,فرع العباسية,0,120,0,2027-07-01,101523CB,36960.0,Tr,2025,2
2367670,2025-02-05 11:49:48,9546,CH-ALPHA SACHETS POWD 10 10.4 G,1,2185,60209,صيدلية الجهاز المركزى,4010205,فرع العباسية,0,90,0,2026-07-01,101344CB,23364.0,Tr,2025,2
2373448,2025-02-10 10:51:31,9545,CH-ALPHA SACH.PO.PLUS 10 6.10 G,1,2185,60229,صيدلية البنك المركزى - الجمهورية,4010203,فرع شبرا,0,25,0,2027-07-01,101524CB,7700.0,Tr,2025,2
2373448,2025-02-10 10:51:31,9546,CH-ALPHA SACHETS POWD 10 10.4 G,1,2185,60229,صيدلية البنك المركزى - الجمهورية,4010203,فرع شبرا,0,60,0,2026-07-01,101345CB,15576.0,Tr,2025,2
2382530,2025-02-15 14:30:14,9545,CH-ALPHA SACH.PO.PLUS 10 6.10 G,1,2185,60220,صيدلية كهرباء - الحلمية,4010305,فرع جاردن سيتي,0,8,0,2027-07-01,101524CB,2464.0,Tr,2025,2
2360404,2025-02-01 11:03:29,9545,CH-ALPHA SACH.PO.PLUS 10 6.10 G,1,2185,60117,صيدلية الحرية اسكندرية,202,مستودع الاسكندرية الاقليمى,0,30,0,2027-06-01,101522CB,9240.0,Tr,2025,2
2360405,2025-02-01 11:03:30,9545,CH-ALPHA SACH.PO.PLUS 10 6.10 G,1,2185,60118,صيدلية سعد زغلول اسكندرية,202,مستودع الاسكندرية الاقليمى,0,90,0,2027-06-01,101522CB,27720.0,Tr,2025,2
2360406,2025-02-01 11:03:31,9545,CH-ALPHA SACH.PO.PLUS 10 6.10 G,1,2185,60264,صيدلية البتروكيماويات الاسكندرية,202,مستودع الاسكندرية الاقليمى,0,90,0,2027-06-01,101522CB,27720.0,Tr,2025,2
2383820,2025-02-16 14:23:38,9545,CH-ALPHA SACH.PO.PLUS 10 6.10 G,1,2185,60237,صيدلية القناة لتوزيع الكهرباء - الزقازيق,4020306,فرع عرابي,0,30,0,2027-06-01,101522CB,9240.0,Tr,2025,2
2367382,2025-02-05 12:50:52,9546,CH-ALPHA SACHETS POWD 10 10.4 G,1,2185,60135,صيدلية 6 اكتوبر,4010305,فرع جاردن سيتي,0,30,0,2026-07-01,101345CB,7788.0,Tr,2025,2
2370444,2025-02-08 10:38:47,9545,CH-ALPHA SACH.PO.PLUS 10 6.10 G,1,2185,60221,صيدلية كهرباء - مدينة نصر,4010203,فرع شبرا,0,210,0,2027-07-01,101524CB,64680.0,Tr,2025,2
2370444,2025-02-08 10:38:47,9546,CH-ALPHA SACHETS POWD 10 10.4 G,1,2185,60221,صيدلية كهرباء - مدينة نصر,4010203,فرع شبرا,0,240,0,2026-07-01,101345CB,62304.0,Tr,2025,2
2363043,2025-02-02 12:15:01,9545,CH-ALPHA SACH.PO.PLUS 10 6.10 G,1,2185,60229,صيدلية البنك المركزى - الجمهورية,4010205,فرع العباسية,0,60,0,2027-07-01,101523CB,18480.0,Tr,2025,2
2371988,2025-02-09 10:18:27,9545,CH-ALPHA SACH.PO.PLUS 10 6.10 G,1,2185,60105,صيدلية باب اللوق,4010205,فرع العباسية,0,50,0,2027-07-01,101524CB,15400.0,Tr,2025,2
2371988,2025-02-09 10:18:27,9546,CH-ALPHA SACHETS POWD 10 10.4 G,1,2185,60105,صيدلية باب اللوق,4010205,فرع العباسية,0,50,0,2026-07-01,101344CB,12980.0,Tr,2025,2
2368173,2025-02-06 10:46:50,9545,CH-ALPHA SACH.PO.PLUS 10 6.10 G,1,2185,60238,صيدلية الجمعية التعاونية للبترول - بمسطرد,4020309,فرع شبين القناطر,0,24,0,2027-04-01,101515CB,7392.0,Tr,2025,2
2368173,2025-02-06 10:46:50,9546,CH-ALPHA SACHETS POWD 10 10.4 G,1,2185,60238,صيدلية الجمعية التعاونية للبترول - بمسطرد,4020309,فرع شبين القناطر,0,10,0,2026-02-01,101224CB,2596.0,Tr,2025,2
2399207,2025-02-27 13:51:11,9545,CH-ALPHA SACH.PO.PLUS 10 6.10 G,1,2185,60120,صيدلية اسعاف (24) الاسماعيلية,4010105,فرع الإسماعيلية,0,10,0,2027-07-01,101524CB,3080.0,Tr,2025,2
2399207,2025-02-27 13:51:11,9546,CH-ALPHA SACHETS POWD 10 10.4 G,1,2185,60120,صيدلية اسعاف (24) الاسماعيلية,4010105,فرع الإسماعيلية,0,10,0,2026-07-01,101346CB,2596.0,Tr,2025,2
2390961,2025-02-20 13:12:33,9545,CH-ALPHA SACH.PO.PLUS 10 6.10 G,1,2185,60105,صيدلية باب اللوق,4010305,فرع جاردن سيتي,0,100,0,2027-07-01,101524CB,30800.0,Tr,2025,2
2390961,2025-02-20 13:12:33,9546,CH-ALPHA SACHETS POWD 10 10.4 G,1,2185,60105,صيدلية باب اللوق,4010305,فرع جاردن سيتي,0,100,0,2026-07-01,101345CB,25960.0,Tr,2025,2
2395892,2025-02-24 13:56:20,9546,CH-ALPHA SACHETS POWD 10 10.4 G,1,2185,60238,صيدلية الجمعية التعاونية للبترول - بمسطرد,4010203,فرع شبرا,0,150,0,2026-07-01,101345CB,38940.0,Tr,2025,2
2378025,2025-02-12 12:45:56,9545,CH-ALPHA SACH.PO.PLUS 10 6.10 G,1,2185,60252,صيدلية جامعة المنيا,4030105,فرع المنيا الجديد,0,5,0,2027-07-01,101524CB,1540.0,Tr,2025,2
2388278,2025-02-18 15:21:19,9546,CH-ALPHA SACHETS POWD 10 10.4 G,1,2185,60217,صيدلية كهرباء - السبتية,4010107,فرع النصر,0,120,0,2026-07-01,101345CB,31152.0,Tr,2025,2
2364053,2025-02-03 09:47:48,9546,CH-ALPHA SACHETS POWD 10 10.4 G,1,2185,60114,صيدلية القصر العينى,4010402,فرع ربيع الجيزى المنيل سابقا,0,10,0,2026-03-02,101339CB,2596.0,Tr,2025,2
2386031,2025-02-17 14:53:47,9545,CH-ALPHA SACH.PO.PLUS 10 6.10 G,1,2185,60105,صيدلية باب اللوق,4010302,فرع شريف,0,55,0,2027-07-01,101524CB,16940.0,Tr,2025,2
2386031,2025-02-17 14:53:47,9546,CH-ALPHA SACHETS POWD 10 10.4 G,1,2185,60105,صيدلية باب اللوق,4010302,فرع شريف,0,50,0,2026-07-01,101345CB,12980.0,Tr,2025,2
2362991,2025-02-02 11:00:30,9545,CH-ALPHA SACH.PO.PLUS 10 6.10 G,1,2185,60220,صيدلية كهرباء - الحلمية,4010205,فرع العباسية,0,16,0,2027-06-01,101520CB,4928.0,Tr,2025,2
2362991,2025-02-02 11:00:30,9545,CH-ALPHA SACH.PO.PLUS 10 6.10 G,1,2185,60220,صيدلية كهرباء - الحلمية,4010205,فرع العباسية,0,184,0,2027-07-01,101523CB,56672.0,Tr,2025,2
2393240,2025-02-27 10:21:49,9546,CH-ALPHA SACHETS POWD 10 10.4 G,1,2185,60222,صيدلية كهرباء - المعادى,4010203,فرع شبرا,0,100,0,2026-07-01,101345CB,25960.0,Tr,2025,2
2395588,2025-02-24 10:01:56,9545,CH-ALPHA SACH.PO.PLUS 10 6.10 G,1,2185,60220,صيدلية كهرباء - الحلمية,4010101,فرع الزيتون,0,3,0,2027-06-01,101522CB,924.0,Tr,2025,2
2395588,2025-02-24 10:01:56,9545,CH-ALPHA SACH.PO.PLUS 10 6.10 G,1,2185,60220,صيدلية كهرباء - الحلمية,4010101,فرع الزيتون,0,37,0,2027-07-01,101524CB,11396.0,Tr,2025,2
2360897,2025-02-01 12:38:26,9546,CH-ALPHA SACHETS POWD 10 10.4 G,1,2185,60105,صيدلية باب اللوق,4010305,فرع جاردن سيتي,0,3,0,2026-03-01,101342,778.8,Tr,2025,2
2360897,2025-02-01 12:38:26,9546,CH-ALPHA SACHETS POWD 10 10.4 G,1,2185,60105,صيدلية باب اللوق,4010305,فرع جاردن سيتي,0,47,0,2026-07-01,101345CB,12201.2,Tr,2025,2
2372897,2025-02-09 13:20:38,9545,CH-ALPHA SACH.PO.PLUS 10 6.10 G,1,2185,60121,صيدلية اسعاف (24) بورسعيد,4020101,فرع بورسعيد,0,20,0,2027-07-01,101524CB,6160.0,Tr,2025,2
2383624,2025-02-16 12:13:44,9545,CH-ALPHA SACH.PO.PLUS 10 6.10 G,1,2185,60128,صيدلية المجمع الطبى بالمعادى,4010402,فرع ربيع الجيزى المنيل سابقا,0,90,0,2027-06-01,101522CB,27720.0,Tr,2025,2
2383624,2025-02-16 12:13:44,9546,CH-ALPHA SACHETS POWD 10 10.4 G,1,2185,60128,صيدلية المجمع الطبى بالمعادى,4010402,فرع ربيع الجيزى المنيل سابقا,0,60,0,2026-07-01,101344CB,15576.0,Tr,2025,2
2367813,2025-02-05 12:49:28,9546,CH-ALPHA SACHETS POWD 10 10.4 G,1,2185,60105,صيدلية باب اللوق,4010305,فرع جاردن سيتي,0,30,0,2026-07-01,101345CB,7788.0,Tr,2025,2
2397986,2025-02-26 12:46:35,9545,CH-ALPHA SACH.PO.PLUS 10 6.10 G,1,2185,60220,صيدلية كهرباء - الحلمية,4010101,فرع الزيتون,0,20,0,2027-07-01,101524CB,6160.0,Tr,2025,2
2366303,2025-02-04 12:06:23,9545,CH-ALPHA SACH.PO.PLUS 10 6.10 G,1,2185,60228,صيدلية البنك المركزى - قصر النيل,4010205,فرع العباسية,0,240,0,2027-07-01,101523CB,73920.0,Tr,2025,2
2375957,2025-02-11 15:07:06,9545,CH-ALPHA SACH.PO.PLUS 10 6.10 G,1,2185,60238,صيدلية الجمعية التعاونية للبترول - بمسطرد,4010206,فرع رمسيس,0,90,0,2027-07-01,101523CB,27720.0,Tr,2025,2
2367677,2025-02-05 11:49:50,9546,CH-ALPHA SACHETS POWD 10 10.4 G,1,2185,60128,صيدلية المجمع الطبى بالمعادى,4010402,فرع ربيع الجيزى المنيل سابقا,0,27,0,2026-03-02,101339CB,7009.2,Tr,2025,2
2367677,2025-02-05 11:49:50,9546,CH-ALPHA SACHETS POWD 10 10.4 G,1,2185,60128,صيدلية المجمع الطبى بالمعادى,4010402,فرع ربيع الجيزى المنيل سابقا,0,3,0,2026-07-01,101344CB,778.8,Tr,2025,2
2386785,2025-02-18 12:19:22,9545,CH-ALPHA SACH.PO.PLUS 10 6.10 G,1,2185,60112,صيدلية دير الملاك,4010205,فرع العباسية,0,45,0,2027-07-01,101524CB,13860.0,Tr,2025,2
2386839,2025-02-18 12:20:20,9546,CH-ALPHA SACHETS POWD 10 10.4 G,1,2185,60112,صيدلية دير الملاك,4010205,فرع العباسية,0,20,0,2026-07-01,101345CB,5192.0,Tr,2025,2
2374832,2025-02-10 15:37:44,9545,CH-ALPHA SACH.PO.PLUS 10 6.10 G,1,2185,60120,صيدلية اسعاف (24) الاسماعيلية,4010105,فرع الإسماعيلية,0,50,0,2027-07-01,101524CB,15400.0,Tr,2025,2
2397084,2025-02-24 15:25:01,9546,CH-ALPHA SACHETS POWD 10 10.4 G,1,2185,60219,صيدلية كهرباء - الهرم,4010402,فرع ربيع الجيزى المنيل سابقا,0,30,0,2026-07-01,101344CB,7788.0,Tr,2025,2
2370672,2025-02-08 10:42:16,9546,CH-ALPHA SACHETS POWD 10 10.4 G,1,2185,60109,صيدلية الزمالك,4010401,فرع المهندسين,0,10,0,2026-07-01,101345CB,2596.0,Tr,2025,2
2399248,2025-02-27 11:44:37,9545,CH-ALPHA SACH.PO.PLUS 10 6.10 G,1,2185,60114,صيدلية القصر العينى,4010305,فرع جاردن سيتي,0,20,0,2027-07-01,101524CB,6160.0,Tr,2025,2
2380288,2025-02-13 12:02:21,9545,CH-ALPHA SACH.PO.PLUS 10 6.10 G,1,2185,60276,صيدلية اسعاف (24)  الغردقة,4030302,فرع قنا الجديد,0,3,0,2027-06-01,101520CB,924.0,Tr,2025,2
2383496,2025-02-16 12:13:13,9546,CH-ALPHA SACHETS POWD 10 10.4 G,1,2185,60117,صيدلية الحرية اسكندرية,4020404,فرع التعاون,0,15,0,2026-07-01,101344CB,3894.0,Tr,2025,2
2369378,2025-02-06 13:38:22,9545,CH-ALPHA SACH.PO.PLUS 10 6.10 G,1,2185,60229,صيدلية البنك المركزى - الجمهورية,4010101,فرع الزيتون,0,60,0,2027-06-01,101522CB,18480.0,Tr,2025,2
2369378,2025-02-06 13:38:22,9546,CH-ALPHA SACHETS POWD 10 10.4 G,1,2185,60229,صيدلية البنك المركزى - الجمهورية,4010101,فرع الزيتون,0,3,0,2026-03-10,101340CH,778.8,Tr,2025,2
2370656,2025-02-08 10:53:34,9545,CH-ALPHA SACH.PO.PLUS 10 6.10 G,1,2185,60109,صيدلية الزمالك,4010401,فرع المهندسين,0,20,0,2027-07-01,101523CB,6160.0,Tr,2025,2
2370656,2025-02-08 10:53:34,9546,CH-ALPHA SACHETS POWD 10 10.4 G,1,2185,60109,صيدلية الزمالك,4010401,فرع المهندسين,0,20,0,2026-07-01,101345CB,5192.0,Tr,2025,2
2367340,2025-02-05 10:10:27,9546,CH-ALPHA SACHETS POWD 10 10.4 G,1,2185,60135,صيدلية 6 اكتوبر,4010206,فرع رمسيس,0,30,0,2026-07-01,101345CB,7788.0,Tr,2025,2
2385192,2025-02-17 12:42:21,9545,CH-ALPHA SACH.PO.PLUS 10 6.10 G,1,2185,60216,صيدلية مطابع البنك نوت,4010302,فرع شريف,0,50,0,2027-07-01,101524CB,15400.0,Tr,2025,2
2367455,2025-02-05 12:51:30,9546,CH-ALPHA SACHETS POWD 10 10.4 G,1,2185,60206,صيدلية مجلس الشعب,4010305,فرع جاردن سيتي,0,30,0,2026-07-01,101345CB,7788.0,Tr,2025,2
2370615,2025-02-08 10:43:38,9545,CH-ALPHA SACH.PO.PLUS 10 6.10 G,1,2185,60109,صيدلية الزمالك,4010401,فرع المهندسين,0,17,0,2027-06-01,101520CB,5236.0,Tr,2025,2
2370615,2025-02-08 10:43:38,9545,CH-ALPHA SACH.PO.PLUS 10 6.10 G,1,2185,60109,صيدلية الزمالك,4010401,فرع المهندسين,0,33,0,2027-07-01,101523CB,10164.0,Tr,2025,2
2370615,2025-02-08 10:43:38,9546,CH-ALPHA SACHETS POWD 10 10.4 G,1,2185,60109,صيدلية الزمالك,4010401,فرع المهندسين,0,10,0,2026-07-01,101345CB,2596.0,Tr,2025,2
2385830,2025-02-17 12:56:53,9545,CH-ALPHA SACH.PO.PLUS 10 6.10 G,1,2185,60270,صيدلية اسعاف (24) المنيا,4030105,فرع المنيا الجديد,0,1,0,2027-07-01,101524CB,308.0,Tr,2025,2
2382528,2025-02-15 14:37:27,9545,CH-ALPHA SACH.PO.PLUS 10 6.10 G,1,2185,60222,صيدلية كهرباء - المعادى,4010305,فرع جاردن سيتي,0,500,0,2027-07-01,101524CB,154000.0,Tr,2025,2
2378014,2025-02-12 12:46:05,9546,CH-ALPHA SACHETS POWD 10 10.4 G,1,2185,60252,صيدلية جامعة المنيا,4030105,فرع المنيا الجديد,0,5,0,2026-07-01,101345CB,1298.0,Tr,2025,2
2397594,2025-02-25 12:54:33,9545,CH-ALPHA SACH.PO.PLUS 10 6.10 G,1,2185,60202,صيدلية حلوان,4010303,فرع حلوان,0,5,0,2027-06-01,101520CB,1540.0,Tr,2025,2
2397594,2025-02-25 12:54:33,9546,CH-ALPHA SACHETS POWD 10 10.4 G,1,2185,60202,صيدلية حلوان,4010303,فرع حلوان,0,10,0,2026-07-01,101344CB,2596.0,Tr,2025,2
2388983,2025-02-19 14:21:19,9545,CH-ALPHA SACH.PO.PLUS 10 6.10 G,1,2185,60120,صيدلية اسعاف (24) الاسماعيلية,4010105,فرع الإسماعيلية,0,4,0,2027-07-01,101524CB,1232.0,Tr,2025,2
2368787,2025-02-06 11:42:00,9545,CH-ALPHA SACH.PO.PLUS 10 6.10 G,1,2185,60231,صيدلية بنك القاهرة,4010302,فرع شريف,0,10,0,2027-07-01,101524CB,3080.0,Tr,2025,2
2368787,2025-02-06 11:42:00,9546,CH-ALPHA SACHETS POWD 10 10.4 G,1,2185,60231,صيدلية بنك القاهرة,4010302,فرع شريف,0,10,0,2026-07-01,101345CB,2596.0,Tr,2025,2
2371195,2025-02-08 13:35:04,9545,CH-ALPHA SACH.PO.PLUS 10 6.10 G,1,2185,60108,صيدلية اسعاف (24) مصر الجديدة,4010101,فرع الزيتون,0,20,0,2027-06-01,101522CB,6160.0,Tr,2025,2
2363046,2025-02-02 12:04:29,9545,CH-ALPHA SACH.PO.PLUS 10 6.10 G,1,2185,60229,صيدلية البنك المركزى - الجمهورية,4010205,فرع العباسية,0,60,0,2027-07-01,101523CB,18480.0,Tr,2025,2
2363046,2025-02-02 12:04:29,9546,CH-ALPHA SACHETS POWD 10 10.4 G,1,2185,60229,صيدلية البنك المركزى - الجمهورية,4010205,فرع العباسية,0,60,0,2026-07-01,101344CB,15576.0,Tr,2025,2
2389421,2025-02-19 12:13:58,9545,CH-ALPHA SACH.PO.PLUS 10 6.10 G,1,2185,60229,صيدلية البنك المركزى - الجمهورية,4010205,فرع العباسية,0,60,0,2027-07-01,101524CB,18480.0,Tr,2025,2
2371520,2025-02-09 09:42:35,9545,CH-ALPHA SACH.PO.PLUS 10 6.10 G,1,2185,60123,صيدلية اسعاف (24) كفر الشيخ,4020201,فرع كفر الشيخ,0,10,0,2027-04-01,101515CB,3080.0,Tr,2025,2
2369683,2025-02-06 13:46:51,9545,CH-ALPHA SACH.PO.PLUS 10 6.10 G,1,2185,60109,صيدلية الزمالك,4010302,فرع شريف,0,50,0,2027-07-01,101524CB,15400.0,Tr,2025,2
