Date,Supp. Code,Supp. Name,Item Code,Item Name,Brick,Governorate Name,Territory Name,Brick Name,QTY,FU,Total Qty,Year,Month
2025/01/31,110192.0,BIOTECH PHARMA                      ,620172.0,CH ALPHA PLUS 10 SACHETS(O.P)                               ,124801.0,الاسكندرية          ,ALEX E II SIDI BESHR KEBLY              ,MIAMI - SEDI BESHR                      ,1,0,1,2025,1
2025/01/31,110192.0,BIOTECH PHARMA                      ,591469.0,CH ALPHA PLUS 10 SACHETS                                    ,175901.0,السويس              ,SUEZ /S SINAI  SUES                     ,EL SEWIS                                ,3,0,3,2025,1
2025/01/31,110192.0,BIOTECH PHARMA                      ,606713.0,FORTIBONE 10 SACHETS                                        ,276803.0,راس غارب            ,QENA I /RED SEA RED SEA                 ,RED SEA                                 ,3,0,3,2025,1
2025/01/31,110192.0,BIOTECH PHARMA                      ,620176.0,GENGIGEL GEL TEETHING 20ML                                  ,175901.0,السويس              ,SUEZ /S SINAI  SUES                     ,EL SEWIS                                ,1,0,1,2025,1
2025/01/31,110192.0,BIOTECH PHARMA                      ,591469.0,CH ALPHA PLUS 10 SACHETS                                    ,83701.0,المنصوره            ,DAKAHLIA I ELMANSOURA                   ,EL MANSOURA                             ,1,0,1,2025,1
2025/01/31,110192.0,BIOTECH PHARMA                      ,591469.0,CH ALPHA PLUS 10 SACHETS                                    ,165801.0,الاسماعيليه         ,ISMAELIA ISMAELIA                       ,ISMAELIA                                ,2,0,2,2025,1
2025/01/31,110192.0,BIOTECH PHARMA                      ,583152.0,GENGIGEL GEL ADULT 20ML                                     ,10201.0,القاهرة             ,HELPS I ELAHRAM ST                      ,EL ISMAELIA  SQ                         ,1,0,1,2025,1
2025/01/31,110192.0,BIOTECH PHARMA                      ,583152.0,GENGIGEL GEL ADULT 20ML                                     ,236501.0,اسيوط شرق           ,ASSIUT II ASSIUT CITY EAST              ,ASSIUT CITY                             ,1,0,1,2025,1
2025/01/31,110192.0,BIOTECH PHARMA                      ,583152.0,GENGIGEL GEL ADULT 20ML                                     ,22701.0,الهرم               ,FAISAL FAISAL                           ,FEISAL                                  ,1,0,1,2025,1
2025/01/31,110192.0,BIOTECH PHARMA                      ,620174.0,GENGIGEL MOUTH RINSE 150ML                                  ,236502.0,الوليديه            ,ASSIUT II ASSIUT CITY EAST              ,MARAKEZ ASUT KEBLY                      ,1,0,1,2025,1
2025/01/31,110192.0,BIOTECH PHARMA                      ,620176.0,GENGIGEL GEL TEETHING 20ML                                  ,11601.0,منشيه ناصر          ,CAIRO S III MANSHIET NASSER             ,EL MOKATAM - MANSHIT NASER              ,1,0,1,2025,1
2025/01/31,110192.0,BIOTECH PHARMA                      ,620174.0,GENGIGEL MOUTH RINSE 150ML                                  ,22401.0,المهندسين           ,GIZA III AGOUZA                         ,EL MOHANDESEN                           ,-2,0,-2,2025,1
2025/01/31,110192.0,BIOTECH PHARMA                      ,575054.0,CH ALPHA 10 SACH                                            ,256601.0,اخميم               ,SOHAG I AKHMIM                          ,MARAKEZ SOHAG BAHARY                    ,3,0,3,2025,1
2025/01/31,110192.0,BIOTECH PHARMA                      ,606713.0,FORTIBONE 10 SACHETS                                        ,125101.0,الاسكندرية          ,ALEX CNTR II SMOHA                      ,SEDI GABER - SPORTING - ROSHDY          ,30,0,30,2025,1
2025/01/31,110192.0,BIOTECH PHARMA                      ,591469.0,CH ALPHA PLUS 10 SACHETS                                    ,287001.0,كوم امبو            ,ASWAN KOM OMBO                          ,MARAKEZ ASWAN                           ,3,0,3,2025,1
2025/01/31,110192.0,BIOTECH PHARMA                      ,620176.0,GENGIGEL GEL TEETHING 20ML                                  ,10701.0,عين شمس             ,CAIRO E III ELZAHRAA                    ,AIN SHAMS EAST                          ,1,0,1,2025,1
2025/01/31,110192.0,BIOTECH PHARMA                      ,583152.0,GENGIGEL GEL ADULT 20ML                                     ,125101.0,سموحه               ,ALEX CNTR II SMOHA                      ,SEDI GABER - SPORTING - ROSHDY          ,2,0,2,2025,1
2025/01/31,110192.0,BIOTECH PHARMA                      ,606713.0,FORTIBONE 10 SACHETS                                        ,287001.0,كوم امبو            ,ASWAN KOM OMBO                          ,MARAKEZ ASWAN                           ,1,0,1,2025,1
2025/01/31,110192.0,BIOTECH PHARMA                      ,606713.0,FORTIBONE 10 SACHETS                                        ,256601.0,طما                 ,SOHAG I TEMA                            ,MARAKEZ SOHAG BAHARY                    ,1,0,1,2025,1
2025/01/31,110192.0,BIOTECH PHARMA                      ,575054.0,CH ALPHA 10 SACH                                            ,266802.0,قنا                 ,QENA I /RED SEA QUENA CITY I            ,QENA CITY                               ,2,0,2,2025,1
2025/01/31,110192.0,BIOTECH PHARMA                      ,620174.0,GENGIGEL MOUTH RINSE 150ML                                  ,11402.0,المنيل              ,CAIRO S I ELMANIAL                      ,EL MANIAL                               ,2,0,2,2025,1
2025/01/31,110192.0,BIOTECH PHARMA                      ,620174.0,GENGIGEL MOUTH RINSE 150ML                                  ,32702.0,الجيزة              ,FAISAL 6TH OF OCTOBER CITY              ,GIZA ( 6 OCTOBER )                      ,2,0,2,2025,1
2025/01/31,110192.0,BIOTECH PHARMA                      ,591469.0,CH ALPHA PLUS 10 SACHETS                                    ,195902.0,دهب                 ,SUEZ /S SINAI  SOUTH SINAI              ,SOUTH SINA                              ,1,0,1,2025,1
2025/01/31,110192.0,BIOTECH PHARMA                      ,591469.0,CH ALPHA PLUS 10 SACHETS                                    ,155701.0,بورسعيد             ,PORT SAID /N SINAI PORT SAID            ,PORT SAIED                              ,1,0,1,2025,1
2025/01/31,110192.0,BIOTECH PHARMA                      ,591469.0,CH ALPHA PLUS 10 SACHETS                                    ,53101.0,شبين الكوم          ,MENOFIA SHEBIN ELKOM                    ,SHEBIN ELKOM                            ,1,0,1,2025,1
2025/01/31,110192.0,BIOTECH PHARMA                      ,591469.0,CH ALPHA PLUS 10 SACHETS                                    ,11701.0,القاهرة             ,MAADI MAADI                             ,MAADI                                   ,0,10,10,2025,1
2025/01/31,110192.0,BIOTECH PHARMA                      ,583152.0,GENGIGEL GEL ADULT 20ML                                     ,94101.0,دمياط الجديده       ,DOMIAT DOMIAT                           ,DOMIAT                                  ,2,0,2,2025,1
2025/01/31,110192.0,BIOTECH PHARMA                      ,591469.0,CH ALPHA PLUS 10 SACHETS                                    ,10502.0,الزيتون             ,CAIRO E I TOMAN BAY ST                  ,EL ZAYTON                               ,1,0,1,2025,1
2025/01/31,110192.0,BIOTECH PHARMA                      ,575054.0,CH ALPHA 10 SACH                                            ,266801.0,ابو تشت             ,QENA I /RED SEA ABOU TESHT              ,MARAKEZ QENA BAHARY                     ,1,0,1,2025,1
2025/01/31,110192.0,BIOTECH PHARMA                      ,575054.0,CH ALPHA 10 SACH                                            ,10401.0, الجيزة             ,NASR CITY NASR CITY                     ,NASR CITY                               ,20,0,20,2025,1
2025/01/31,110192.0,BIOTECH PHARMA                      ,583152.0,GENGIGEL GEL ADULT 20ML                                     ,11601.0,القاهرة             ,CAIRO S III MANSHIET NASSER             ,EL MOKATAM - MANSHIT NASER              ,1,0,1,2025,1
2025/01/31,110192.0,BIOTECH PHARMA                      ,591469.0,CH ALPHA PLUS 10 SACHETS                                    ,10202.0,القاهرة             ,HELPS II ARD ELGOLF                     ,ARD ELGOLF                              ,1,0,1,2025,1
2025/01/31,110192.0,BIOTECH PHARMA                      ,591469.0,CH ALPHA PLUS 10 SACHETS                                    ,10401.0,القاهره الجديده     ,HELPS III ELMONTAZAH ST                 ,NASR CITY                               ,5,0,5,2025,1
2025/01/31,110192.0,BIOTECH PHARMA                      ,606713.0,FORTIBONE 10 SACHETS                                        ,266802.0,قنا الجديده         ,QENA I /RED SEA QUENA CITY I            ,QENA CITY                               ,1,0,1,2025,1
2025/01/31,110192.0,BIOTECH PHARMA                      ,583152.0,GENGIGEL GEL ADULT 20ML                                     ,11701.0,القاهرة             ,MAADI NEW MAADI                         ,MAADI                                   ,2,0,2,2025,1
2025/01/31,110192.0,BIOTECH PHARMA                      ,620176.0,GENGIGEL GEL TEETHING 20ML                                  ,73501.0,المحله الكبري       ,GHARBIA II ELMAHALA ELKOBRA             ,EL MAHALA EL KOBRA                      ,-1,0,-1,2025,1
2025/01/31,110192.0,BIOTECH PHARMA                      ,620176.0,GENGIGEL GEL TEETHING 20ML                                  ,32702.0,حدائق الاهرام       ,FAISAL 6TH OF OCTOBER CITY              ,GIZA ( 6 OCTOBER )                      ,1,0,1,2025,1
2025/01/31,110192.0,BIOTECH PHARMA                      ,606713.0,FORTIBONE 10 SACHETS                                        ,83901.0,بني عبيد            ,DAKAHLIA I ELMANSOURA                   ,DEKERNES                                ,1,0,1,2025,1
2025/01/31,110192.0,BIOTECH PHARMA                      ,583152.0,GENGIGEL GEL ADULT 20ML                                     ,226301.0,المنيا جنوب         ,EL MENYA II ELMENYA CITY I              , ELMENIA City                           ,1,0,1,2025,1
2025/01/31,110192.0,BIOTECH PHARMA                      ,591469.0,CH ALPHA PLUS 10 SACHETS                                    ,165801.0,حي السلام           ,ISMAELIA ISMAELIA                       ,ISMAELIA                                ,2,0,2,2025,1
2025/01/31,110192.0,BIOTECH PHARMA                      ,591469.0,CH ALPHA PLUS 10 SACHETS                                    ,10401.0,القاهرة             ,NASR CITY NASR CITY                     ,NASR CITY                               ,3,0,3,2025,1
2025/01/31,110192.0,BIOTECH PHARMA                      ,620176.0,GENGIGEL GEL TEETHING 20ML                                  ,10401.0,القاهره الجديده     ,NASR CITY NASR CITY                     ,NASR CITY                               ,5,0,5,2025,1
2025/01/31,110192.0,BIOTECH PHARMA                      ,606713.0,FORTIBONE 10 SACHETS                                        ,22301.0,الجيزة              ,GIZA IV ZAMALEK                         ,ZAMALEK                                 ,1,0,1,2025,1
2025/01/31,110192.0,BIOTECH PHARMA                      ,591469.0,CH ALPHA PLUS 10 SACHETS                                    ,125101.0,الاسكندرية          ,ALEX CNTR II SMOHA                      ,SEDI GABER - SPORTING - ROSHDY          ,170,0,170,2025,1
2025/01/31,110192.0,BIOTECH PHARMA                      ,620176.0,GENGIGEL GEL TEETHING 20ML                                  ,114503.0,العاشر من رمضان     ,SHARKIA II 10TH RAMADAN CITY            ,EL 10 OF RAMADAN                        ,2,0,2,2025,1
2025/01/31,110192.0,BIOTECH PHARMA                      ,620176.0,GENGIGEL GEL TEETHING 20ML                                  ,165801.0,حي السلام           ,ISMAELIA ISMAELIA                       ,ISMAELIA                                ,1,0,1,2025,1
2025/01/31,110192.0,BIOTECH PHARMA                      ,575054.0,CH ALPHA 10 SACH                                            ,135303.0,الحمام              ,ALEX W II /MTRH MARSA MATROUH           ,MATROUH                                 ,1,0,1,2025,1
2025/01/31,110192.0,BIOTECH PHARMA                      ,591469.0,CH ALPHA PLUS 10 SACHETS                                    ,10602.0,عزبه النخل          ,CAIRO E II EZBET ELNAKHL                ,CAIRO ( EL SALAM )                      ,1,0,1,2025,1
2025/01/31,110192.0,BIOTECH PHARMA                      ,606713.0,FORTIBONE 10 SACHETS                                        ,11603.0,دار السلام          ,CAIRO S III DAR ELSALAM                 ,DAR ELSALAM                             ,1,0,1,2025,1
2025/01/31,110192.0,BIOTECH PHARMA                      ,591469.0,CH ALPHA PLUS 10 SACHETS                                    ,11702.0,القاهرة             ,MAADI NEW MAADI                         ,NEW MADI                                ,2,0,2,2025,1
2025/01/31,110192.0,BIOTECH PHARMA                      ,620176.0,GENGIGEL GEL TEETHING 20ML                                  ,165801.0,عرايشيه مصر         ,ISMAELIA ISMAELIA                       ,ISMAELIA                                ,1,0,1,2025,1
2025/01/31,110192.0,BIOTECH PHARMA                      ,575054.0,CH ALPHA 10 SACH                                            ,125101.0,الابراهيميه         ,ALEX CNTR II IBRAHIMEIA                 ,SEDI GABER - SPORTING - ROSHDY          ,1,0,1,2025,1
2025/01/31,110192.0,BIOTECH PHARMA                      ,591469.0,CH ALPHA PLUS 10 SACHETS                                    ,276803.0,راس غارب            ,QENA I /RED SEA RED SEA                 ,RED SEA                                 ,1,0,1,2025,1
2025/01/31,110192.0,BIOTECH PHARMA                      ,620176.0,GENGIGEL GEL TEETHING 20ML                                  ,10401.0,القاهره الجديده     ,NASR CITY NASR CITY                     ,NASR CITY                               ,5,0,5,2025,1
2025/01/31,110192.0,BIOTECH PHARMA                      ,591469.0,CH ALPHA PLUS 10 SACHETS                                    ,10401.0,القاهرة             ,NASR CITY NASR CITY                     ,NASR CITY                               ,60,0,60,2025,1
2025/01/31,110192.0,BIOTECH PHARMA                      ,606713.0,FORTIBONE 10 SACHETS                                        ,83702.0,درين - نبروه        ,DAKAHLIA I NABAROH                      ,TALKHA                                  ,1,0,1,2025,1
2025/01/31,110192.0,BIOTECH PHARMA                      ,606713.0,FORTIBONE 10 SACHETS                                        ,63201.0,المنوفية            ,MENOFIA II BERKET ELSABAA               ,QWESNA - BERKET ELSABAA                 ,1,0,1,2025,1
2025/01/31,110192.0,BIOTECH PHARMA                      ,606713.0,FORTIBONE 10 SACHETS                                        ,256701.0,البلينا             ,SOHAG II ELBALYANA                      ,MARAKEZ SOHAG KEBLY                     ,-2,0,-2,2025,1
2025/01/31,110192.0,BIOTECH PHARMA                      ,606713.0,FORTIBONE 10 SACHETS                                        ,256701.0,البلينا             ,SOHAG II ELBALYANA                      ,MARAKEZ SOHAG KEBLY                     ,2,0,2,2025,1
2025/01/31,110192.0,BIOTECH PHARMA                      ,606713.0,FORTIBONE 10 SACHETS                                        ,236501.0,اسيوط               ,ASSIUT II ASSIUT CITY EAST              ,ASSIUT CITY                             ,6,0,6,2025,1
2025/01/31,110192.0,BIOTECH PHARMA                      ,620174.0,GENGIGEL MOUTH RINSE 150ML                                  ,276803.0,الغردقه             ,QENA I /RED SEA RED SEA                 ,RED SEA                                 ,1,0,1,2025,1
2025/01/31,110192.0,BIOTECH PHARMA                      ,606713.0,FORTIBONE 10 SACHETS                                        ,287002.0,اسوان               ,ASWAN ASWAN CITY I                      ,ASWAN CITY                              ,1,0,1,2025,1
2025/01/31,110192.0,BIOTECH PHARMA                      ,591469.0,CH ALPHA PLUS 10 SACHETS                                    ,124801.0,العصافره قبلي       ,ALEX E III LORAN                        ,MIAMI - SEDI BESHR                      ,2,0,2,2025,1
2025/01/31,110192.0,BIOTECH PHARMA                      ,583152.0,GENGIGEL GEL ADULT 20ML                                     ,125101.0,الحضره البحريه      ,ALEX CNTR II ELHADRA                    ,SEDI GABER - SPORTING - ROSHDY          ,1,0,1,2025,1
2025/01/31,110192.0,BIOTECH PHARMA                      ,583152.0,GENGIGEL GEL ADULT 20ML                                     ,32702.0,الجيزة              ,FAISAL 6TH OF OCTOBER CITY              ,GIZA ( 6 OCTOBER )                      ,2,0,2,2025,1
2025/01/31,110192.0,BIOTECH PHARMA                      ,575054.0,CH ALPHA 10 SACH                                            ,256701.0,البلينا             ,SOHAG II ELBALYANA                      ,MARAKEZ SOHAG KEBLY                     ,1,0,1,2025,1
2025/01/31,110192.0,BIOTECH PHARMA                      ,620176.0,GENGIGEL GEL TEETHING 20ML                                  ,125101.0,الحضره              ,ALEX CNTR II ELHADRA                    ,SEDI GABER - SPORTING - ROSHDY          ,1,0,1,2025,1
2025/01/31,110192.0,BIOTECH PHARMA                      ,591469.0,CH ALPHA PLUS 10 SACHETS                                    ,266801.0,نجع حمادي           ,QENA I /RED SEA KAFT                    ,MARAKEZ QENA BAHARY                     ,1,0,1,2025,1
2025/01/31,110192.0,BIOTECH PHARMA                      ,591469.0,CH ALPHA PLUS 10 SACHETS                                    ,11702.0,المعادي             ,MAADI NEW MAADI                         ,NEW MADI                                ,3,0,3,2025,1
2025/01/31,110192.0,BIOTECH PHARMA                      ,606713.0,FORTIBONE 10 SACHETS                                        ,11103.0,الساحل              ,CAIRO W II ELSAHEL                      ,SHOBRA MISR ( ELSAHEL)                  ,3,0,3,2025,1
2025/01/31,110192.0,BIOTECH PHARMA                      ,575054.0,CH ALPHA 10 SACH                                            ,10602.0,القاهرة             ,CAIRO E II EZBET ELBAGOR                ,CAIRO ( EL SALAM )                      ,2,0,2,2025,1
2025/01/31,110192.0,BIOTECH PHARMA                      ,575054.0,CH ALPHA 10 SACH                                            ,11301.0,جاردن سيتي          ,CAIRO S I GARDEN CITY                   ,RAMSIS SQ - ABDEEN                      ,2,0,2,2025,1
2025/01/31,110192.0,BIOTECH PHARMA                      ,583152.0,GENGIGEL GEL ADULT 20ML                                     ,32801.0,فيصل                ,EL HARAM NAZLET ELSEMAN                 ,GIZA (OSIEM)                            ,1,0,1,2025,1
2025/01/31,110192.0,BIOTECH PHARMA                      ,583152.0,GENGIGEL GEL ADULT 20ML                                     ,256602.0,سوهاج               ,SOHAG I SOHAG CITY II                   ,SOHAG CITY                              ,2,0,2,2025,1
2025/01/31,110192.0,BIOTECH PHARMA                      ,591469.0,CH ALPHA PLUS 10 SACHETS                                    ,165801.0,الشيخ زايد          ,ISMAELIA ISMAELIA                       ,ISMAELIA                                ,2,0,2,2025,1
2025/01/31,110192.0,BIOTECH PHARMA                      ,575054.0,CH ALPHA 10 SACH                                            ,145501.0,النوباريه الجديده   ,BEHERA II ABOU ELMATAMEER               ,HOSH ESSA - ABO ELMATAMIR               ,2,0,2,2025,1
2025/01/31,110192.0,BIOTECH PHARMA                      ,606713.0,FORTIBONE 10 SACHETS                                        ,11401.0,جاردن سيتي          ,CAIRO S I KASR AINI ST                  ,GARDEN CITY                             ,5,0,5,2025,1
2025/01/31,110192.0,BIOTECH PHARMA                      ,575054.0,CH ALPHA 10 SACH                                            ,73401.0,طنطا                ,GHARBIA  TANTA                          ,ZEFTA                                   ,1,0,1,2025,1
2025/01/31,110192.0,BIOTECH PHARMA                      ,591469.0,CH ALPHA PLUS 10 SACHETS                                    ,155701.0,حي الزهور           ,PORT SAID /N SINAI PORT SAID            ,PORT SAIED                              ,1,0,1,2025,1
2025/01/31,110192.0,BIOTECH PHARMA                      ,606713.0,FORTIBONE 10 SACHETS                                        ,276803.0,الغردقه             ,QENA I /RED SEA RED SEA                 ,RED SEA                                 ,1,0,1,2025,1
2025/01/31,110192.0,BIOTECH PHARMA                      ,606713.0,FORTIBONE 10 SACHETS                                        ,73603.0,الغربية             ,GHARBIA III ZEFTA                       ,ZEFTA                                   ,1,0,1,2025,1
2025/01/31,110192.0,BIOTECH PHARMA                      ,606713.0,FORTIBONE 10 SACHETS                                        ,10602.0,عزبه النخل الغربيه  ,CAIRO E II ELMARG                       ,CAIRO ( EL SALAM )                      ,1,0,1,2025,1
2025/01/31,110192.0,BIOTECH PHARMA                      ,606713.0,FORTIBONE 10 SACHETS                                        ,52901.0,بنها                ,KALUBIA I BANHA                         ,KALIOUB-BANHA                           ,3,0,3,2025,1
2025/01/31,110192.0,BIOTECH PHARMA                      ,591469.0,CH ALPHA PLUS 10 SACHETS                                    ,10401.0,مدينه نصر           ,NASR CITY NASR CITY                     ,NASR CITY                               ,4,0,4,2025,1
2025/01/31,110192.0,BIOTECH PHARMA                      ,606713.0,FORTIBONE 10 SACHETS                                        ,165801.0,عرايشيه مصر         ,ISMAELIA ISMAELIA                       ,ISMAELIA                                ,1,0,1,2025,1
2025/01/31,110192.0,BIOTECH PHARMA                      ,591469.0,CH ALPHA PLUS 10 SACHETS                                    ,10401.0,القاهره الجديده     ,NASR CITY NASR CITY                     ,NASR CITY                               ,5,0,5,2025,1
2025/01/31,110192.0,BIOTECH PHARMA                      ,591469.0,CH ALPHA PLUS 10 SACHETS                                    ,11701.0,المعادي             ,MAADI MAADI                             ,MAADI                                   ,1,0,1,2025,1
2025/01/31,110192.0,BIOTECH PHARMA                      ,591469.0,CH ALPHA PLUS 10 SACHETS                                    ,165801.0,الاسماعيليه         ,ISMAELIA ISMAELIA                       ,ISMAELIA                                ,1,0,1,2025,1
2025/01/31,110192.0,BIOTECH PHARMA                      ,583152.0,GENGIGEL GEL ADULT 20ML                                     ,125101.0,سموحه               ,ALEX CNTR II SMOHA                      ,SEDI GABER - SPORTING - ROSHDY          ,2,0,2,2025,1
2025/01/31,110192.0,BIOTECH PHARMA                      ,591469.0,CH ALPHA PLUS 10 SACHETS                                    ,83902.0,المطريه             ,DAKAHLIA III ELMATAREIA                 ,MARAKEZ EL KHAT EL FARANSAWI            ,1,0,1,2025,1
2025/01/31,110192.0,BIOTECH PHARMA                      ,591469.0,CH ALPHA PLUS 10 SACHETS                                    ,32801.0,الجيزة              ,EL HARAM ELHARAM                        ,GIZA (OSIEM)                            ,25,0,25,2025,1
2025/01/31,110192.0,BIOTECH PHARMA                      ,583152.0,GENGIGEL GEL ADULT 20ML                                     ,10401.0,القاهرة             ,NASR CITY NASR CITY                     ,NASR CITY                               ,2,0,2,2025,1
2025/01/31,110192.0,BIOTECH PHARMA                      ,583152.0,GENGIGEL GEL ADULT 20ML                                     ,22301.0,الزمالك             ,GIZA IV ZAMALEK                         ,ZAMALEK                                 ,3,0,3,2025,1
2025/01/31,110192.0,BIOTECH PHARMA                      ,575054.0,CH ALPHA 10 SACH                                            ,22104.0,الصف                ,GIZA II ELSAFF                          ,EL SAFF                                 ,2,0,2,2025,1
2025/01/31,110192.0,BIOTECH PHARMA                      ,619237.0,KEFEN TECH 7 PLASTER                                        ,22401.0,المهندسين           ,GIZA V ELMOHANDESSIN                    ,EL MOHANDESEN                           ,20,0,20,2025,1
2025/01/31,110192.0,BIOTECH PHARMA                      ,619237.0,KEFEN TECH 7 PLASTER                                        ,114601.0,كفر صقر             ,SHARKEIA III KAFR SAKR                  ,ABU KEBER & HEHYA                       ,1,0,1,2025,1
2025/01/31,110192.0,BIOTECH PHARMA                      ,583152.0,GENGIGEL GEL ADULT 20ML                                     ,145503.0,ادكو                ,BEHERA II EDCO                          ,EL MAHMODIA                             ,1,0,1,2025,1
